season,team,is_format_playoffs_next,country_next,is_mega_auction_next,num_teams_next,last_qual_years,is_captain_overseas_next,final_position,matches,position,wins,losses,nr,points,nrr,nrr_rank,longest_winning_streak,longest_losing_streak,position_2nd_half,wins_2nd_half,losses_2nd_half,nr_2nd_half,points_2nd_half,nrr_2nd_half,nrr_rank_2nd_half,longest_winning_streak_2nd_half,longest_losing_streak_2nd_half,final_position_next,in_next_playoffs,is_next_champion
2008,Rajasthan Royals,0,South Africa,0,8,1,1,1,14,1,11,3,0,22,0.632,1,6,1,1,6,1,0,12,0.835,2,6,1,6,0,0
2008,Chennai Super Kings,0,South Africa,0,8,1,0,2,14,3,8,6,0,16,-0.192,6,4,3,4,4,3,0,8,-0.394,5,2,2,4,1,0
2008,Punjab Kings,0,South Africa,0,8,1,0,3,14,2,10,4,0,20,0.509,3,5,2,2,5,2,0,10,0.591,3,4,1,5,0,0
2008,Delhi Capitals,0,South Africa,0,8,1,0,4,14,4,7,6,1,15,0.342,4,2,4,5,3,3,1,7,-0.044,4,2,2,3,1,0
2008,Mumbai Indians,0,South Africa,0,8,2,0,5,14,5,7,7,0,14,0.57,2,6,4,3,4,3,0,8,1.666,1,3,3,7,0,0
2008,Kolkata Knight Riders,0,South Africa,0,8,2,1,6,14,6,6,7,1,13,-0.147,5,3,4,6,3,3,1,7,-0.974,8,2,3,8,0,0
2008,Royal Challengers Bangalore,0,South Africa,0,8,2,1,7,14,7,4,10,0,8,-1.16,8,2,5,7,2,5,0,4,-0.874,6,2,4,2,1,0
2008,Deccan Chargers,0,South Africa,0,8,2,1,8,14,8,2,12,0,4,-0.467,7,1,7,8,0,7,0,0,-0.907,7,0,7,1,1,1
2009,Deccan Chargers,0,India,0,8,1,1,1,14,4,7,7,0,14,0.203,4,4,3,4,3,4,0,6,0.363,3,1,2,4,1,0
2009,Royal Challengers Bangalore,0,India,0,8,1,0,2,14,3,8,6,0,16,-0.191,5,4,4,3,5,2,0,10,-0.049,5,4,2,3,1,0
