season,team,matches,wins,points,nrr,position,nrr_rank,longest_winning_streak,longest_winless_streak,unique_match_winners,unique_match_winners_rank,is_top_4,is_top_2,is_champion
2011,Chennai Super Kings,1,1,2,0.1,5,5,1,0,1,1,1,1,1
2011,Chennai Super Kings,2,1,2,-0.258,6,6,1,1,1,4,1,1,1
2011,Chennai Super Kings,3,2,4,0.181,5,6,1,1,2,1,1,1,1
2011,Chennai Super Kings,4,2,4,-0.097,6,6,1,1,2,3,1,1,1
2011,Chennai Super Kings,5,2,4,-0.157,8,7,1,2,2,3,1,1,1
2011,Chennai Super Kings,6,3,6,0.095,3,4,1,2,2,3,1,1,1
2011,Chennai Super Kings,7,4,8,0.143,3,4,2,2,3,3,1,1,1
2011,Chennai Super Kings,8,5,10,0.247,3,3,3,2,4,3,1,1,1
2011,Chennai Super Kings,9,6,12,0.292,3,4,4,2,4,3,1,1,1
2011,Chennai Super Kings,10,6,12,0.223,4,4,4,2,4,3,1,1,1
2011,Chennai Super Kings,11,7,14,0.509,3,2,4,2,5,3,1,1,1
2011,Chennai Super Kings,12,8,16,0.544,2,2,4,2,6,1,1,1,1
2011,Chennai Super Kings,13,9,18,0.544,1,1,4,2,7,1,1,1,1
2011,Chennai Super Kings,14,9,18,0.443,2,1,4,2,7,1,1,1,1
2011,Deccan Chargers,1,0,0,-0.637,8,8,0,1,0,6,0,0,0
2011,Deccan Chargers,2,0,0,-0.553,8,7,0,2,0,8,0,0,0
2011,Deccan Chargers,3,1,2,0.186,7,5,1,2,1,6,0,0,0
2011,Deccan Chargers,4,1,2,-0.112,8,7,1,2,1,7,0,0,0
2011,Deccan Chargers,5,2,4,0.073,7,5,1,2,2,3,0,0,0
2011,Deccan Chargers,6,2,4,-0.251,10,6,1,2,2,3,0,0,0
2011,Deccan Chargers,7,3,6,0.194,6,3,1,2,3,3,0,0,0
2011,Deccan Chargers,8,3,6,0.048,6,4,1,2,3,4,0,0,0
2011,Deccan Chargers,9,3,6,-0.07,7,5,1,2,3,5,0,0,0
2011,Deccan Chargers,10,3,6,-0.125,10,6,1,3,3,6,0,0,0
2011,Deccan Chargers,11,3,6,-0.177,10,6,1,4,3,9,0,0,0
2011,Deccan Chargers,12,4,8,-0.117,9,6,1,4,4,5,0,0,0
2011,Deccan Chargers,13,5,10,-0.08,8,7,2,4,4,5,0,0,0
2011,Deccan Chargers,14,6,12,0.222,7,4,3,4,5,5,0,0,0
2011,Delhi Capitals,1,0,0,-1.131,9,9,0,1,0,6,0,0,0
2011,Delhi Capitals,2,0,0,-0.954,10,9,0,2,0,8,0,0,0
2011,Delhi Capitals,3,1,2,-0.567,9,9,1,2,0,10,0,0,0
2011,Delhi Capitals,4,1,2,-0.632,9,9,1,2,0,10,0,0,0
2011,Delhi Capitals,5,2,4,-0.231,9,8,1,2,1,9,0,0,0
